uid,subjects
102001,Basic hardware Introduction & Tips on system configuration
102001,Fundamental of Visual Arts
102001,Basic elements of Drawing
102001,Fundamental Perspective
102001,Anatomy & Illustration
102001,Animation Concept
102001,Scriptwriting
102001,Storyboard
102001,Training on Computer Graphic:
102001,Detail study on computer graphic
102001,Photoshop
102001,Introduction of 3D software Interface
102001,Start with basic modelling
102001,A different process of 3D modelling
102001,High resolution modelling concept
102001,Low resolution modelling concept
102001,Organic & Inorganic Modelling
102001,High resolution texturing technique
102001,Low resolution texturing technique
102001,Basic Lighting Concept
102001,Advance lighting
102001,Basic Rendering Concept
102001,Start with Basic Rigging
102001,Advance Rigging
102001,Start with Basic Animation
102001,Advance Animation
102001,Advance Rendering
102001,Dynamics
102001,Dynamics with cloth
102001,Hair & Fur
102002,Aircraft Maintenance & Practice
102002,CAR (Civil Aviation Regulation)
102002,Aircraft Instrumentation System
102002,Avionics & Aircraft Radio System
102002,Aircraft Structures
102002,Aircraft System
102002,Aircraft Structures Servicing Lab
102002,Maintenance Management
102002,Avionics Lab
102002,Aircraft System Servicing Lab
102002,Project Work (Working Model)
102002,Aircraft Instrument System Lab
102002,Aircraft Electrical System
102002,C-Programming Lab
102002,Aircraft Materials
102002,Applied Science
102002,Applied Mathematics
102002,Basic Aerodynamics
102002,Basic Electrical & Electronics Engg. Lab
102002,Basic Electrical & Electronics Engg.
102002,Computer Aided Engg. Graphics
102002,"Basic Workshop Practicals (Carpentry, Fitting, Forging, Welding)"
102002,Basic Computer Skills Lab
102002,Industrial Visit
102002,Fluid Mech & Pneumatics Lab
102002,English Communication
102002,Engg. Graphics (Conventional)
102002,Jet Engine Lab
102002,ISAP Lab
102002,Jet Engine Theory
102002,Materials Testing (NDT) Process Lab
102002,Organizational Management
102002,Piston Engine Theory
102002,Piston Engine Lab
102002,Fluid Mechanics & Pneumatics Aircraft Inspection & Documentation
102003,Introduction to Agriculture
102003,Principles of Agronomy
102003,Field Crop Production
102003,Fundamentals of Soil Science
102003,Fundamentals of Entomology
102003,Economic Botany
102003,Principles of Horticulture
102003,Biomathematics
102003,Crop Production
102003,Soil Chemistry
102003,Principles of Insect Control
102003,Plant Pathology
102003,Live Stock and Poultry Production
102003,Basics of Agricultural Engineering
102003,Principles of Agricultural Economics
102003,Agricultural Meteorology
102003,Organic Farming and Sustainable Agriculture
102003,"Plant Nutrition, Manures, and Fertilizers"
102003,Principles of Genetics
102003,Pests and Pest Control
102003,Diseases of Field Crops
102003,Dairy Cattle and Buffalo Production
102003,Production Technology of Fruit Crops
102003,Water Management
102003,Weed Management
102003,Agricultural Statistics
102003,Plant Breeding
102003,Agricultural Microbiology
102003,Green House Technology
102003,Seed Production Technology
102003,Post-Harvest Technology
102004,Mathematics
102004,Strength of Material
102004,Civil Draftsman and Architecture
102004,Business Communication
102004,Information Technology
102004,Practical
102004,Construction Project Management
102004,Interior and Exterior Design
102004,Building Constructions
102004,Structural Engineering
102004,Architectural Design
102004,Practical
102004,"Estimations, Costing, and Specifications"
102004,Foundation Design
102004,Concrete Technology
102004,Elective subject
102004,Project
102004,Practical
102005,"Foundry, Welding and Sheet Metal Practice"
102005,Applied Science Lab
102005,Auto Electrical and Electronics
102005,Auto Repair and Maintenance
102005,Automobile Chassis and Transmission
102005,Automobile Machine Shop
102005,Automobile Mechanics
102005,Automobile Workshop Practice
102005,Automobile Workshop Tech
102005,Automotive Engine Auxiliary Systems
102005,Automotive Engines
102005,Automotive Estimation and Costing
102005,Automotive Pollution and Control
102005,Basic Computer Skills lab
102005,Basic Electrical and Electronics Engineering
102005,C Programming Lab
102005,CAD Practice
102005,Computer-Aided Engineering Graphics
102005,Engine and Vehicle Testing Lab
102005,English Communication
102005,"Hydraulics, Pneumatics and Power Plant"
102005,ISAP Lab
102005,Machine Design and Theory of M/Cs
102005,Mechanical Testing Lab
102005,Modern Vehicle Technology
102005,Motor Vehicle Management
102005,Organizational Management
102005,"Project, Industrial Visit, and Seminar"
102005,Special Vehicle and Equipment
102005,Strength of Materials
102005,Thermal engineering I
102005,Vehicle  Maintenance
102005,Vehicle Maintenance Lab
